Code,lat_0,lat_1,lat_2,lat_3,lat_4,lat_5,lat_6,lat_7,lat_8,lat_9,lat_10,lat_11,lat_12,lat_13,lat_14,lat_15,lat_16,lat_17,lat_18,lat_19,lat_20,lat_21,lat_22,lat_23,lat_24,lat_25,lat_26,lat_27,lat_28,lat_29,lat_30,lat_31,lat_32,lat_33,lat_34,lat_35,lat_36,lat_37,lat_38,lat_39,lat_40,lat_41,lat_42,lat_43,lat_44,lat_45,lat_46,lat_47,lat_48,lat_49,lat_50,lat_51,lat_52,lat_53,lat_54,lat_55,lat_56,lat_57,lat_58,lat_59,lat_60,lat_61,lat_62,lat_63,PCA 1,PCA 2,t-SNE 1,t-SNE 2,zeo_num_atoms,zeo_a,zeo_b,zeo_c,zeo_alpha,zeo_beta,zeo_gamma,zeo_volume,zeo_largest_free_sphere,zeo_largest_free_sphere_a,zeo_largest_free_sphere_b,zeo_largest_free_sphere_c,zeo_largest_included_sphere,zeo_largest_included_sphere_a,zeo_largest_included_sphere_b,zeo_largest_included_sphere_c,zeo_largest_included_sphere_fsp,zeo_num_atoms_per_vol,zeo_chan_num_channels,zeo_chan_0_dim,zeo_chan_1_dim,zeo_chan_2_dim,zeo_chan_3_dim,zeo_chan_4_dim,zeo_chan_5_dim,zeo_chan_0_di,zeo_chan_0_df,zeo_chan_0_dif,zeo_chan_1_di,zeo_chan_1_df,zeo_chan_1_dif,zeo_chan_2_di,zeo_chan_2_df,zeo_chan_2_dif,zeo_chan_3_di,zeo_chan_3_df,zeo_chan_3_dif,zeo_chan_4_di,zeo_chan_4_df,zeo_chan_4_dif,zeo_chan_5_di,zeo_chan_5_df,zeo_chan_5_dif,zeo_density,zeo_asa_a2,zeo_asa_m2_cm3,zeo_asa_m2_g,zeo_nasa_a2,zeo_nasa_m2_cm3,zeo_nasa_m2_g,zeo_sa_num_channels,zeo_chan_0_sa_a2,zeo_chan_1_sa_a2,zeo_chan_2_sa_a2,zeo_chan_3_sa_a2,zeo_chan_4_sa_a2,zeo_chan_5_sa_a2,zeo_sa_num_pockets,zeo_poc_0_sa_a2,zeo_poc_1_sa_a2,zeo_poc_2_sa_a2,zeo_poc_3_sa_a2,zeo_poc_4_sa_a2,zeo_poc_5_sa_a2,zeo_poc_6_sa_a2,zeo_poc_7_sa_a2,zeo_poc_8_sa_a2,zeo_poc_9_sa_a2,zeo_poc_10_sa_a2,zeo_poc_11_sa_a2,zeo_poc_12_sa_a2,zeo_poc_13_sa_a2,zeo_poc_14_sa_a2,zeo_poc_15_sa_a2,zeo_poc_16_sa_a2,zeo_poc_17_sa_a2,zeo_poc_18_sa_a2,zeo_poc_19_sa_a2,zeo_poc_20_sa_a2,zeo_poc_21_sa_a2,zeo_poc_22_sa_a2,zeo_poc_23_sa_a2,zeo_poc_24_sa_a2,zeo_av_a3,zeo_av_frac,zeo_av_cm3_g,zeo_nav_a3,zeo_nav_frac,zeo_nav_cm3_g,zeo_chan_0_vol_a3,zeo_chan_1_vol_a3,zeo_chan_2_vol_a3,zeo_chan_3_vol_a3,zeo_chan_4_vol_a3,zeo_chan_5_vol_a3,zeo_poc_0_vol_a3,zeo_poc_1_vol_a3,zeo_poc_2_vol_a3,zeo_poc_3_vol_a3,zeo_poc_4_vol_a3,zeo_poc_5_vol_a3,zeo_poc_6_vol_a3,zeo_poc_7_vol_a3,zeo_poc_8_vol_a3,zeo_poc_9_vol_a3,zeo_poc_10_vol_a3,zeo_poc_11_vol_a3,zeo_poc_12_vol_a3,zeo_poc_13_vol_a3,zeo_poc_14_vol_a3,zeo_poc_15_vol_a3,zeo_poc_16_vol_a3,zeo_poc_17_vol_a3,zeo_poc_18_vol_a3,zeo_poc_19_vol_a3,zeo_poc_20_vol_a3,zeo_poc_21_vol_a3,zeo_poc_22_vol_a3,zeo_poc_23_vol_a3,zeo_poc_24_vol_a3,zeo_poav_a3,zeo_poav_frac,zeo_poav_cm3_g,zeo_ponav_a3,zeo_ponav_frac,zeo_ponav_cm3_g,zeo_probe_rad,zeo_N_points,zeo_probe_ctr_A_fract,zeo_probe_ctr_NA_fract,zeo_A_fract,zeo_NA_fract,zeo_narrow_fract,zeo_ovlpvfract,zeo_deriv_mean,zeo_deriv_variance,zeo_deriv_skewness,zeo_deriv_kurtosis,zeo_cum_mean,zeo_cum_variance,zeo_cum_skewness,zeo_cum_kurtosis,zeo_num_si
CLO,-16.9997,3.8710048,-10.315743,-3.7923765,13.762295,-5.040712,-8.671482,-0.69826996,4.147429,8.336201,6.792085,-19.655897,3.7430189,-12.7845745,-4.7489495,-3.6304796,18.822926,16.254736,-2.2863548,-1.0118713,1.968258,1.0831647,-1.018212,8.596345,-7.7792363,-1.2229302,-5.4345407,2.149598,5.4894066,-2.2803853,-1.8470367,-4.3756227,21.51484,0.016461425,16.969131,-7.7101526,9.060684,-2.7606752,-4.8205338,-0.6241492,8.142279,-6.7013283,4.9024973,-9.2884655,11.777053,-7.8885026,9.073352,6.331531,-8.813346,11.399121,-0.56745327,10.4291725,-12.243757,14.280866,-4.3928633,-1.5410945,-21.34151,0.115659975,-4.54784,-12.977031,4.6142926,-4.197427,-24.403854,9.151077,-6.413503086389546,2.839619476478664,1.2960174,-6.481177,588,25.84,25.84,25.84,90.0,90.0,90.0,17253.512704,5.91098,5.91098,5.91097,5.91097,15.32075,15.32075,15.32075,15.32075,15.32075,0.0340800166370573,2,3,3,0,0,0,0,15.3208,5.91098,15.3208,10.179,3.7921,10.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12876,3817.24,2212.45,1960.08,0.0,0.0,0.0,2,2780.05,1037.19,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6254.05,0.36248,0.321133,0.0,0.0,0.0,5343.41,910.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9926.64,0.57534,0.509712,0.0,0.0,0.0,1,50000,0.36248,0.0,0.57534,0.0,0.04888,0.37578,0.0332225993289036,0.0289759808684364,7.697942393877286,60.94767113577321,0.3916594017275748,0.1834110562990574,0.4244426326933334,-1.5763766670967836,196.0
CHI,-17.06532,12.338078,5.5594187,11.318156,7.5681195,-5.351173,22.90458,-10.363382,-7.64103,-7.2771864,-8.088483,-7.220611,5.6870117,24.899185,-1.573551,-3.866747,12.035714,-2.693588,-31.378017,1.8033216,-14.035702,-4.924608,2.684897,-2.1060734,-2.375912,8.591952,2.4406376,9.143914,5.3726296,2.4436817,6.9926705,4.6485786,-3.252625,-2.123492,-4.0125065,-21.428265,6.963369,5.6778736,-0.18658255,-6.821441,-5.4497666,5.5024667,6.081083,-3.5597646,-12.092964,-6.21551,4.8308578,4.3546863,0.1532973,-12.761977,-8.772325,4.909856,-0.8529384,2.016199,1.7867073,1.5502734,-17.929752,8.325283,0.084392995,1.9005367,-11.628046,-7.0977764,-3.25367,3.5196886,2.980558457573351,-3.4793921472659366,3.3667436,0.82637227,88,5.01,31.234,9.012,90.0,90.0,90.0,1410.21884808,3.22887,3.22887,0.82421,0.91249,3.5145,3.50689,3.51271,3.5145,3.50689,0.062401662068133,4,1,1,1,1,0,0,3.50916,3.22887,3.50916,3.51118,3.22887,3.51118,3.51112,3.22887,3.51112,3.5145,3.22887,3.5145,0.0,0.0,0.0,0.0,0.0,0.0,2.05633,156.578,1110.31,539.948,0.0,0.0,0.0,4,38.3246,39.1872,38.2932,40.7734,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.442,0.04286,0.0208429,0.0,0.0,0.0,14.8355,15.0329,15.8791,14.6945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.072,0.19222,0.0934771,0.0,0.0,0.0,1,50000,0.04286,0.0,0.19222,0.0,0.12748,0.6803,0.0332225863122923,0.1609599419276781,12.142527288297916,145.47160650448518,0.119517611295681,0.1051506423905501,2.34460972506615,3.4972954942533514,29.33333333333333
IFU,-14.778504,6.0609097,-1.4268746,-9.102889,5.5853634,1.3622277,-5.302301,4.7260733,-0.73308516,2.414188,5.476924,-19.515825,4.8823028,-5.1162615,-5.425592,-4.6445723,7.237123,6.04243,0.64814794,-0.9882928,2.6083312,-6.832007,3.7646942,1.2880224,-2.1384592,0.61872095,-2.3973405,-0.29311228,1.5489386,-6.472448,3.2863896,-6.731433,11.401086,4.840023,13.709245,-8.50281,0.8311632,1.098476,-4.198863,2.3133245,5.107413,-5.136664,-0.21394947,-7.737987,3.648203,-4.793871,5.639857,0.8503077,-2.7330375,-0.25554714,-2.9312184,11.419106,-3.040464,3.9696937,2.8835354,-7.747762,-11.513396,-2.6351666,-1.9710296,-13.27155,2.5800068,-0.0030869544,-13.769305,10.60055,-5.313796020576026,3.6808848917942383,1.820483,-5.8867154,388,26.03578,25.58951,15.82481,90.0,90.0,90.0,10543.166557325929,6.44304,6.44304,5.71389,5.71389,10.4563,10.22208,10.22208,10.22208,10.22208,0.0368010879739349,1,3,0,0,0,0,0,10.4563,6.44304,10.4563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22137,1945.03,1844.82,1510.46,72.8289,69.0769,56.5571,1,1945.03,0.0,0.0,0.0,0.0,0.0,14,7.84885,7.60627,0.279305,4.05119,0.140183,7.70761,8.18854,8.89263,3.04837,0.159603,8.27258,7.84249,0.320267,8.47103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3755.27,0.35618,0.291624,9.91058,0.00094,0.00076963,3755.27,0.0,0.0,0.0,0.0,0.0,0.843453,1.26518,0.0,0.63259,0.0,1.47604,0.843453,0.843453,0.210863,0.0,0.843453,1.26518,0.0,1.68691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5646.29,0.53554,0.438476,112.179,0.01064,0.00871156,1,50000,0.35618,0.00094,0.53554,0.01064,0.0539,0.39992,0.033222592026578,0.0542014627664949,8.561813036900917,77.24987858972884,0.3348487993355482,0.2133170338581701,0.6897443390835938,-1.480886540509538,129.33333333333334
ITN,-2.373476,3.9207652,1.4499682,0.6620483,-0.5025824,-1.3685443,-4.8509994,1.4003778,-0.7627851,-4.617443,4.2823153,0.58404183,0.59992766,4.8565474,0.93092984,6.957053,8.221473,1.4892838,-7.50481,-0.014651716,-0.77167076,-4.6118855,0.37761304,0.49409115,-3.9518547,3.1771662,0.1062395,-3.3823957,-4.3713923,0.12317224,1.6705784,2.616416,2.2298892,1.8338228,5.041361,3.7330332,-3.7640545,-4.8154955,0.65257925,-2.457306,3.7878726,-2.9318278,8.072535,-3.0182474,1.0216821,0.165225,-5.8578568,3.333347,-1.4742783,-4.3108344,4.386208,3.216267,-1.6647415,1.0001872,11.839405,-1.3257668,4.185457,3.092966,3.1707287,-7.234015,-3.6003058,-7.8816338,2.6762524,-1.9342175,0.1505261205672675,0.3468565751843314,0.9426227,-2.5967836,163,24.20049999999997,12.539899999999978,14.2502,72.59899999999998,123.12800000000004,90.00000000000001,3382.798049576585,4.42579,4.42579,4.07354,4.3004,6.46113,6.44137,6.44137,6.33992,6.44137,0.0481849633383826,1,3,0,0,0,0,0,6.46113,4.42579,6.46113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60052,664.071,1963.08,1226.53,0.0,0.0,0.0,1,664.071,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.342,0.18752,0.117162,0.0,0.0,0.0,634.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.23,0.39412,0.246245,0.0,0.0,0.0,1,50000,0.18752,0.0,0.39412,0.0,0.07582,0.53006,0.0332225534418604,0.0363960637316392,6.864439835403591,49.79075983779133,0.2028973421926909,0.1553844323038777,1.4711130262225285,0.214815836648992,54.333333333333336
IRY,-10.311182,6.004883,-0.06524515,-9.663789,-4.1481633,0.47131222,-9.307171,-3.7473483,-0.30901477,6.9004736,9.160118,-15.5076685,1.868569,9.802032,-2.3118024,2.6763003,3.364535,-0.6413752,-4.9534235,-2.4761167,-1.6209002,-3.1533396,1.7875458,-4.3712,1.7103561,-4.987756,-1.5131288,2.1735957,0.7332474,-6.3188577,1.8728853,-9.186603,3.5995853,1.9315758,18.760822,-5.782508,1.5447866,2.3580458,0.32429242,1.4409724,1.5047436,1.0617383,5.5824604,-8.293285,4.9058332,-1.1804652,3.577192,1.1298106,3.9764414,-5.7414145,1.9531723,9.630702,-5.1331296,-1.1996415,6.9906006,-6.8514385,-7.7403092,-0.64338493,-10.437519,-10.829327,5.151411,2.4852855,-7.742987,9.063847,-5.543709720869095,2.2254981431179366,2.307082,-5.768539,230,15.9499,15.949899999999984,31.0796,90.0,90.0,120.00000000000004,6847.341395098511,8.95385,8.95323,8.95385,8.27089,10.69098,10.65421,10.65421,10.65421,10.65421,0.0335896790781659,1,3,0,0,0,0,0,10.691,8.95385,10.6844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11515,1233.66,1801.66,1615.62,0.0,0.0,0.0,1,1233.66,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2955.72,0.43166,0.387088,0.0,0.0,0.0,2955.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.52,0.60396,0.541597,0.0,0.0,0.0,1,50000,0.43166,0.0,0.60396,0.0,0.02922,0.36682,0.0332226086378737,0.093674669865961,11.615325069910456,136.57834151395997,0.3523900565448505,0.2241899166207235,0.6075382716242204,-1.6241308501367226,76.66666666666667
ITV,-13.311287,5.440515,-3.8514822,-3.8688247,-8.410511,-10.589467,-9.190704,-7.064669,-8.264912,7.6797194,5.82301,-20.248266,1.5174253,0.46988934,-0.10809775,3.8840768,21.449392,8.837829,-5.7560587,5.1664553,6.5708194,0.761949,6.0159564,-12.160465,-0.7347808,-10.428953,1.9061325,-1.0796446,22.684275,-4.151786,5.840017,-6.581286,10.96259,3.8670144,12.390819,-0.54777783,11.232052,-6.6063347,7.3838034,-1.6431817,6.639028,5.8173327,-0.96879137,-10.135086,1.7819228,-11.932426,1.0345958,-2.4124486,-2.0430555,7.6871176,2.289024,13.459875,-9.082,-10.800232,6.8423524,-16.896942,-11.583687,5.12118,-5.042704,1.6187031,14.039786,-1.2834818,-6.8022923,-7.172937,-6.449582243775548,1.6944321140279328,1.5236099,-6.243521,592,26.31,26.31,26.31,90.0,90.0,90.0,18212.205591,6.5811,6.5811,6.5811,6.5811,8.53889,8.51567,8.51609,8.52834,8.51609,0.0325056730247187,1,3,0,0,0,0,0,8.53889,6.5811,8.52902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07517,3678.87,2020.0,1878.77,0.0,0.0,0.0,1,3678.87,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7421.47,0.4075,0.379009,0.0,0.0,0.0,7421.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10671.6,0.58596,0.544992,0.0,0.0,0.0,1,50000,0.4075,0.0,0.58596,0.0,0.05112,0.36292,0.0332226124784053,0.0496147647072812,8.427670690362193,75.18130724582024,0.2703231395348837,0.1885821405800357,1.025733578366167,-0.8954442509672011,197.3333333333333
EWT,-5.275002,1.9238346,-0.7776915,-2.6083233,-0.5585865,1.0787117,0.22287287,2.0245898,-2.7800999,0.923839,2.4676948,-7.740432,4.531716,-0.0059624612,0.70177895,-1.411721,1.6442293,-0.6573462,2.381506,-0.7874733,-0.3059843,-2.5066109,-1.0199769,1.2624892,0.46543413,2.0797734,1.6557758,3.0556898,2.8829474,-4.135319,0.3010648,-2.2803009,3.5518465,-0.61768305,3.0947435,-1.575874,1.8672808,3.2906692,1.6183258,1.1914554,0.6890842,-2.495335,0.6562475,-3.1327765,0.15975672,2.262573,-1.9154991,-3.326077,-0.18816102,0.16273496,-2.9648201,2.3022094,-0.07371023,4.304547,2.0154843,-2.103867,-2.5270698,-5.1701646,2.8652947,-6.0120907,3.9360318,1.5779132,-0.9548229,2.9884472,-1.9108457484193015,0.6096961459576083,1.5776069,-3.8791013,216,19.80114,19.80114,14.18779,90.0,90.0,120.0,4817.544912067193,5.71667,3.87565,3.87565,5.71667,7.34632,7.34632,7.20964,7.34632,7.34632,0.0448361154784367,1,3,0,0,0,0,0,7.34634,5.71669,7.34634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48279,976.222,2026.39,1366.6,0.0,0.0,0.0,1,976.222,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.63,0.24922,0.168075,0.0,0.0,0.0,1200.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.4,0.44616,0.300891,0.0,0.0,0.0,1,50000,0.24922,0.0,0.44616,0.0,0.05962,0.49422,0.0332226029966777,0.0274091526331619,7.060962719101634,54.99948571012211,0.2201190631229236,0.1586905543306981,1.330839029845522,-0.1410465514580274,72.0
NES,-0.2985592,-6.0732026,1.1524527,6.269427,-9.594589,2.1330533,-5.3982377,-1.2059836,-0.8069166,0.8092363,-2.2872217,9.018905,4.44379,-6.7392397,-1.5087017,-2.7203925,-4.5403976,1.647061,6.648127,2.6754344,-3.2381265,-5.48028,9.977881,-2.6263673,-4.014317,7.337641,2.3268554,-10.707981,10.4131365,6.155999,5.7113686,2.4232554,-1.3479304,0.14937285,-2.3892474,-6.3328886,1.6097366,-0.67312515,1.7024484,-6.7009206,9.164799,-0.7498234,-6.1957154,-11.251145,-4.0182753,-8.438105,0.8531068,2.4240398,8.594009,2.8771667,1.4704325,-0.8553597,6.097955,-4.2452073,8.707001,8.218622,-3.292351,15.765067,1.2754222,9.63411,-0.19153485,-2.102205,-5.0097947,-5.8662543,1.859634542503579,0.7247703236129821,3.050324,-1.497791,408,26.06,13.884,22.86,90.0,90.0,90.0,8271.137534399999,4.66101,4.66101,4.66101,1.41918,6.17238,6.16948,6.16948,6.17238,6.16948,0.0493281605224325,2,2,2,0,0,0,0,6.17238,4.66101,6.17238,6.16948,4.66096,6.16948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64052,1380.6,1669.18,1017.47,23.7903,28.763,17.5329,2,687.189,693.413,0.0,0.0,0.0,0.0,8,2.77754,2.53602,3.32098,2.71716,3.92479,2.77754,2.65678,3.07945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.23,0.1624,0.098993,1.65423,0.0002,0.000121913,671.947,671.286,0.0,0.0,0.0,0.0,0.330846,0.165423,0.165423,0.330846,0.165423,0.165423,0.165423,0.165423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2792.17,0.33758,0.205776,41.1903,0.00498,0.00303562,1,50000,0.1624,0.0002,0.33758,0.00498,0.11348,0.54396,0.0332225802990033,0.1067079213818253,11.618456767580804,143.07060563150168,0.2038009568106312,0.1607266694191958,1.464682748540755,0.1544977999827743,136.0
PAR,-1.6300111,-0.58647984,-0.026869416,1.6535695,-0.5166608,-1.8006475,2.4434884,1.3430806,4.64817,-1.4252259,1.8834323,-1.0468619,6.0637584,3.2232077,-6.686295,-3.8474767,1.6611894,0.33997238,-5.392384,0.55526817,0.96485716,-0.007481396,1.9256865,-1.0507913,-1.7004697,3.6570256,1.9716146,2.69529,0.3398902,2.3768704,0.83970207,-1.0666982,5.0004005,1.1967698,0.99956155,-2.3623989,2.3432777,1.4135307,0.016976431,-3.6895075,0.27629322,-0.9030785,-1.932191,1.906519,0.26242715,-0.2543085,0.3477031,0.20053712,0.2426281,3.0500236,-2.522238,-2.3791413,0.8594265,1.5088811,2.223284,1.3901598,-2.040323,3.0149655,1.7832705,4.570532,-2.9039755,0.09142986,-1.9371569,-3.2185054,0.9139587490571142,-0.24417085875482933,1.2680994,-2.35854,100,21.55499999999996,8.761,9.304,90.0,91.55,90.0,1756.355690266584,3.19544,0.39984,1.35078,3.19544,3.68714,3.68652,3.68714,3.62696,3.62696,0.0569360753941712,2,1,1,0,0,0,0,3.68714,3.19544,3.68714,3.68714,3.19544,3.68714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8783,253.347,1442.46,767.96,0.0,0.0,0.0,2,125.443,127.905,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0233,0.05638,0.0300165,0.0,0.0,0.0,49.1428,49.8805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.063,0.22778,0.121269,0.0,0.0,0.0,1,50000,0.05638,0.0,0.22778,0.0,0.10718,0.66504,0.03322259820598,0.1498402926233249,12.128767819102272,145.2893245077189,0.1223944318936876,0.1069050892226365,2.297545107618103,3.2801475721136963,33.333333333333336
SVY,1.5983522,3.6482148,-3.435956,2.2187226,-7.738407,-1.191489,-2.1281877,-4.885213,0.39781535,0.93683934,-0.7349732,4.348381,-1.7949649,-3.268001,-0.7103385,-0.006792888,-3.3493755,-3.3328888,-7.400392,-0.33947495,-9.587119,4.8250847,-2.7500806,0.3246429,0.9622515,1.145443,-0.70536023,1.3839834,-0.7207017,5.1208367,1.2320023,-1.332306,-0.97235185,-0.23895314,5.6555004,-4.108535,2.6186671,4.838526,1.5252731,-4.3814564,1.9204459,-4.18715,5.4534674,-1.958941,2.8300622,2.1504674,-1.3599906,-0.4577482,3.0535932,2.6986544,-1.8666798,3.3212426,-0.30186483,-5.8173313,-0.23631895,0.9263508,-3.072879,0.5466659,1.2436507,-5.015646,3.4769626,-3.6726422,-1.8151665,4.5272884,-1.4151835488651217,-0.6642262487952212,2.5027394,-3.2150922,430,14.40474,14.40474000000004,50.35448,90.0,90.0,119.99999999999991,9048.56259059475,4.15309,4.15309,4.15088,2.1246,7.57728,5.75459,5.77512,7.22222,5.75459,0.0475213599612992,3,3,2,2,0,0,0,7.57731,4.03157,7.55466,5.77514,4.15088,5.77514,5.77569,4.15309,5.77569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57747,1847.04,2041.25,1294.0,0.0,0.0,0.0,3,1279.25,285.155,282.63,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.68,0.18574,0.117745,0.0,0.0,0.0,1209.79,236.891,233.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3587.03,0.39642,0.251301,0.0,0.0,0.0,1,50000,0.18574,0.0,0.39642,0.0,0.0778,0.52578,0.0332225697674418,0.0359456253187966,7.57159912967797,61.727325876542594,0.2120236146179401,0.1444734264553557,1.357168009169364,0.026522714256961,143.33333333333334
RON,0.56425995,-4.693613,1.2767091,2.878374,0.23262393,-2.060996,4.0369763,-0.758005,-1.6947619,1.1130515,0.54015386,2.1556826,-1.0723602,-3.465707,1.964498,-2.516775,-1.3583475,0.30665892,2.7213938,0.2894654,-4.185197,-0.5632286,5.2682176,1.1007482,1.7687212,1.5334469,-0.43783933,-1.5030676,2.1598248,2.27582,0.23613866,0.59935164,2.3961837,0.9694165,-2.9995694,-4.2346954,2.0824416,1.157013,-0.7305789,-1.8577977,-1.7065978,-0.5655095,-2.2237008,-0.58782864,-0.7657181,0.31880084,-0.08833252,0.5789162,1.5850602,4.910309,-3.6253734,-2.3154006,-1.4011539,0.9654637,0.13864824,0.9936841,-3.5534027,0.061806794,1.5672728,-0.80833066,-3.8670049,0.5546867,-1.9114501,-1.8279119,-0.46800740491189147,-1.0693827620975864,2.0974038,-2.993675,160,18.08329,18.08329,8.98593,90.0,90.0,90.0,2938.4474293593576,4.03597,1.12749,1.12749,4.03597,5.11327,5.11327,5.11327,4.66966,4.66966,0.0544505232257578,2,1,1,0,0,0,0,5.11327,4.03167,5.11327,5.11327,4.03167,5.11327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82909,345.236,1174.89,642.337,0.301907,1.02744,0.56172,2,175.238,169.998,0.0,0.0,0.0,0.0,4,0.181144,0.0603814,0.0603814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.183,0.08378,0.0458042,0.0,0.0,0.0,123.885,122.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.882,0.21572,0.117938,0.0,0.0,0.0,1,50000,0.08378,0.0,0.21572,0.0,0.15684,0.62744,0.0332226083056478,0.0939648766714747,10.770935184024829,119.65320993998851,0.1677260996677741,0.1358708038940867,1.759896926281045,1.131807793535069,53.333333333333336
