,Code,zeo_num_atoms,zeo_a,zeo_b,zeo_c,zeo_alpha,zeo_beta,zeo_gamma,zeo_volume,zeo_largest_free_sphere,zeo_largest_free_sphere_a,zeo_largest_free_sphere_b,zeo_largest_free_sphere_c,zeo_largest_included_sphere,zeo_largest_included_sphere_a,zeo_largest_included_sphere_b,zeo_largest_included_sphere_c,zeo_largest_included_sphere_fsp,zeo_num_atoms_per_vol,zeo_chan_num_channels,zeo_chan_0_dim,zeo_chan_1_dim,zeo_chan_2_dim,zeo_chan_3_dim,zeo_chan_4_dim,zeo_chan_5_dim,zeo_chan_0_di,zeo_chan_0_df,zeo_chan_0_dif,zeo_chan_1_di,zeo_chan_1_df,zeo_chan_1_dif,zeo_chan_2_di,zeo_chan_2_df,zeo_chan_2_dif,zeo_chan_3_di,zeo_chan_3_df,zeo_chan_3_dif,zeo_chan_4_di,zeo_chan_4_df,zeo_chan_4_dif,zeo_chan_5_di,zeo_chan_5_df,zeo_chan_5_dif,zeo_density,zeo_asa_a2,zeo_asa_m2_cm3,zeo_asa_m2_g,zeo_nasa_a2,zeo_nasa_m2_cm3,zeo_nasa_m2_g,zeo_sa_num_channels,zeo_chan_0_sa_a2,zeo_chan_1_sa_a2,zeo_chan_2_sa_a2,zeo_chan_3_sa_a2,zeo_chan_4_sa_a2,zeo_chan_5_sa_a2,zeo_sa_num_pockets,zeo_poc_0_sa_a2,zeo_poc_1_sa_a2,zeo_poc_2_sa_a2,zeo_poc_3_sa_a2,zeo_poc_4_sa_a2,zeo_poc_5_sa_a2,zeo_poc_6_sa_a2,zeo_poc_7_sa_a2,zeo_poc_8_sa_a2,zeo_poc_9_sa_a2,zeo_poc_10_sa_a2,zeo_poc_11_sa_a2,zeo_poc_12_sa_a2,zeo_poc_13_sa_a2,zeo_poc_14_sa_a2,zeo_poc_15_sa_a2,zeo_poc_16_sa_a2,zeo_poc_17_sa_a2,zeo_poc_18_sa_a2,zeo_poc_19_sa_a2,zeo_poc_20_sa_a2,zeo_poc_21_sa_a2,zeo_poc_22_sa_a2,zeo_poc_23_sa_a2,zeo_poc_24_sa_a2,zeo_av_a3,zeo_av_frac,zeo_av_cm3_g,zeo_nav_a3,zeo_nav_frac,zeo_nav_cm3_g,zeo_chan_0_vol_a3,zeo_chan_1_vol_a3,zeo_chan_2_vol_a3,zeo_chan_3_vol_a3,zeo_chan_4_vol_a3,zeo_chan_5_vol_a3,zeo_poc_0_vol_a3,zeo_poc_1_vol_a3,zeo_poc_2_vol_a3,zeo_poc_3_vol_a3,zeo_poc_4_vol_a3,zeo_poc_5_vol_a3,zeo_poc_6_vol_a3,zeo_poc_7_vol_a3,zeo_poc_8_vol_a3,zeo_poc_9_vol_a3,zeo_poc_10_vol_a3,zeo_poc_11_vol_a3,zeo_poc_12_vol_a3,zeo_poc_13_vol_a3,zeo_poc_14_vol_a3,zeo_poc_15_vol_a3,zeo_poc_16_vol_a3,zeo_poc_17_vol_a3,zeo_poc_18_vol_a3,zeo_poc_19_vol_a3,zeo_poc_20_vol_a3,zeo_poc_21_vol_a3,zeo_poc_22_vol_a3,zeo_poc_23_vol_a3,zeo_poc_24_vol_a3,zeo_poav_a3,zeo_poav_frac,zeo_poav_cm3_g,zeo_ponav_a3,zeo_ponav_frac,zeo_ponav_cm3_g,zeo_probe_rad,zeo_N_points,zeo_probe_ctr_A_fract,zeo_probe_ctr_NA_fract,zeo_A_fract,zeo_NA_fract,zeo_narrow_fract,zeo_ovlpvfract,zeo_deriv_mean,zeo_deriv_variance,zeo_deriv_skewness,zeo_deriv_kurtosis,zeo_cum_mean,zeo_cum_variance,zeo_cum_skewness,zeo_cum_kurtosis,zeo_num_si
0,CLO,588,25.84,25.84,25.84,90.0,90.0,90.0,17253.512704,5.91098,5.91098,5.91097,5.91097,15.32075,15.32075,15.32075,15.32075,15.32075,0.0340800166370573,2,3,3,0,0,0,0,15.3208,5.91098,15.3208,10.179,3.7921,10.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12876,3817.24,2212.45,1960.08,0.0,0.0,0.0,2,2780.05,1037.19,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6254.05,0.36248,0.321133,0.0,0.0,0.0,5343.41,910.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9926.64,0.57534,0.509712,0.0,0.0,0.0,1,50000,0.36248,0.0,0.57534,0.0,0.04888,0.37578,0.0332225993289036,0.0289759808684364,7.697942393877286,60.94767113577321,0.3916594017275748,0.1834110562990574,0.4244426326933334,-1.5763766670967836,196.0
1,CHI,88,5.01,31.234,9.012,90.0,90.0,90.0,1410.21884808,3.22887,3.22887,0.82421,0.91249,3.5145,3.50689,3.51271,3.5145,3.50689,0.062401662068133,4,1,1,1,1,0,0,3.50916,3.22887,3.50916,3.51118,3.22887,3.51118,3.51112,3.22887,3.51112,3.5145,3.22887,3.5145,0.0,0.0,0.0,0.0,0.0,0.0,2.05633,156.578,1110.31,539.948,0.0,0.0,0.0,4,38.3246,39.1872,38.2932,40.7734,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.442,0.04286,0.0208429,0.0,0.0,0.0,14.8355,15.0329,15.8791,14.6945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.072,0.19222,0.0934771,0.0,0.0,0.0,1,50000,0.04286,0.0,0.19222,0.0,0.12748,0.6803,0.0332225863122923,0.1609599419276781,12.142527288297916,145.47160650448518,0.119517611295681,0.1051506423905501,2.34460972506615,3.4972954942533514,29.33333333333333
2,IFU,388,26.03578,25.58951,15.82481,90.0,90.0,90.0,10543.166557325929,6.44304,6.44304,5.71389,5.71389,10.4563,10.22208,10.22208,10.22208,10.22208,0.0368010879739349,1,3,0,0,0,0,0,10.4563,6.44304,10.4563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22137,1945.03,1844.82,1510.46,72.8289,69.0769,56.5571,1,1945.03,0.0,0.0,0.0,0.0,0.0,14,7.84885,7.60627,0.279305,4.05119,0.140183,7.70761,8.18854,8.89263,3.04837,0.159603,8.27258,7.84249,0.320267,8.47103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3755.27,0.35618,0.291624,9.91058,0.00094,0.00076963,3755.27,0.0,0.0,0.0,0.0,0.0,0.843453,1.26518,0.0,0.63259,0.0,1.47604,0.843453,0.843453,0.210863,0.0,0.843453,1.26518,0.0,1.68691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5646.29,0.53554,0.438476,112.179,0.01064,0.00871156,1,50000,0.35618,0.00094,0.53554,0.01064,0.0539,0.39992,0.033222592026578,0.0542014627664949,8.561813036900917,77.24987858972884,0.3348487993355482,0.2133170338581701,0.6897443390835938,-1.480886540509538,129.33333333333334
3,ITN,163,24.20049999999997,12.539899999999978,14.2502,72.59899999999998,123.12800000000004,90.00000000000001,3382.798049576585,4.42579,4.42579,4.07354,4.3004,6.46113,6.44137,6.44137,6.33992,6.44137,0.0481849633383826,1,3,0,0,0,0,0,6.46113,4.42579,6.46113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60052,664.071,1963.08,1226.53,0.0,0.0,0.0,1,664.071,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.342,0.18752,0.117162,0.0,0.0,0.0,634.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.23,0.39412,0.246245,0.0,0.0,0.0,1,50000,0.18752,0.0,0.39412,0.0,0.07582,0.53006,0.0332225534418604,0.0363960637316392,6.864439835403591,49.79075983779133,0.2028973421926909,0.1553844323038777,1.4711130262225285,0.214815836648992,54.333333333333336
4,IWV-supercell,456,27.826,26.081,13.944,90.0,90.0,90.0,10119.577809264,6.63317,1.4671,6.63317,6.63317,8.13768,8.11237,8.11237,8.11237,8.11237,0.045061168419749,2,2,2,0,0,0,0,8.13768,6.63317,8.13768,8.13768,6.63317,8.13768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49861,1725.71,1705.32,1137.93,3.52154,3.47993,2.3221,2,861.574,864.138,0.0,0.0,0.0,0.0,8,0.42267,0.42267,0.543433,0.42267,0.402189,0.301907,0.483051,0.522952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2428.9,0.24002,0.160162,0.0,0.0,0.0,1194.11,1234.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4156.11,0.4107,0.274054,0.0,0.0,0.0,1,50000,0.24002,0.0,0.4107,0.0,0.09528,0.49402,0.0332226067375415,0.1304768176479492,11.94208024693168,144.44180568222387,0.2714300465116278,0.196924402636762,1.0246955122229648,-0.9474101526170498,152.0
5,IRY,230,15.9499,15.949899999999984,31.0796,90.0,90.0,120.00000000000004,6847.341395098511,8.95385,8.95323,8.95385,8.27089,10.69098,10.65421,10.65421,10.65421,10.65421,0.0335896790781659,1,3,0,0,0,0,0,10.691,8.95385,10.6844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11515,1233.66,1801.66,1615.62,0.0,0.0,0.0,1,1233.66,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2955.72,0.43166,0.387088,0.0,0.0,0.0,2955.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.52,0.60396,0.541597,0.0,0.0,0.0,1,50000,0.43166,0.0,0.60396,0.0,0.02922,0.36682,0.0332226086378737,0.093674669865961,11.615325069910456,136.57834151395997,0.3523900565448505,0.2241899166207235,0.6075382716242204,-1.6241308501367226,76.66666666666667
6,ITV,592,26.31,26.31,26.31,90.0,90.0,90.0,18212.205591,6.5811,6.5811,6.5811,6.5811,8.53889,8.51567,8.51609,8.52834,8.51609,0.0325056730247187,1,3,0,0,0,0,0,8.53889,6.5811,8.52902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07517,3678.87,2020.0,1878.77,0.0,0.0,0.0,1,3678.87,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7421.47,0.4075,0.379009,0.0,0.0,0.0,7421.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10671.6,0.58596,0.544992,0.0,0.0,0.0,1,50000,0.4075,0.0,0.58596,0.0,0.05112,0.36292,0.0332226124784053,0.0496147647072812,8.427670690362193,75.18130724582024,0.2703231395348837,0.1885821405800357,1.025733578366167,-0.8954442509672011,197.33333333333331
7,EWT,216,19.80114,19.801139999999997,14.18779,90.0,90.0,120.0,4817.544912067193,5.71667,3.87565,3.87565,5.71667,7.34632,7.34632,7.20964,7.34632,7.34632,0.0448361154784367,1,3,0,0,0,0,0,7.34634,5.71669,7.34634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48279,976.222,2026.39,1366.6,0.0,0.0,0.0,1,976.222,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.63,0.24922,0.168075,0.0,0.0,0.0,1200.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.4,0.44616,0.300891,0.0,0.0,0.0,1,50000,0.24922,0.0,0.44616,0.0,0.05962,0.49422,0.0332226029966777,0.0274091526331619,7.060962719101634,54.99948571012211,0.2201190631229236,0.1586905543306981,1.330839029845522,-0.1410465514580274,72.0
8,NES,408,26.06,13.884,22.86,90.0,90.0,90.0,8271.137534399999,4.66101,4.66101,4.66101,1.41918,6.17238,6.16948,6.16948,6.17238,6.16948,0.0493281605224325,2,2,2,0,0,0,0,6.17238,4.66101,6.17238,6.16948,4.66096,6.16948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64052,1380.6,1669.18,1017.47,23.7903,28.763,17.5329,2,687.189,693.413,0.0,0.0,0.0,0.0,8,2.77754,2.53602,3.32098,2.71716,3.92479,2.77754,2.65678,3.07945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.23,0.1624,0.098993,1.65423,0.0002,0.000121913,671.947,671.286,0.0,0.0,0.0,0.0,0.330846,0.165423,0.165423,0.330846,0.165423,0.165423,0.165423,0.165423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2792.17,0.33758,0.205776,41.1903,0.00498,0.00303562,1,50000,0.1624,0.0002,0.33758,0.00498,0.11348,0.54396,0.0332225802990033,0.1067079213818253,11.618456767580804,143.07060563150168,0.2038009568106312,0.1607266694191958,1.464682748540755,0.1544977999827743,136.0
9,PAR,100,21.55499999999996,8.761,9.304,90.0,91.55,90.0,1756.355690266584,3.19544,0.39984,1.35078,3.19544,3.68714,3.68652,3.68714,3.62696,3.62696,0.0569360753941712,2,1,1,0,0,0,0,3.68714,3.19544,3.68714,3.68714,3.19544,3.68714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8783,253.347,1442.46,767.96,0.0,0.0,0.0,2,125.443,127.905,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0233,0.05638,0.0300165,0.0,0.0,0.0,49.1428,49.8805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.063,0.22778,0.121269,0.0,0.0,0.0,1,50000,0.05638,0.0,0.22778,0.0,0.10718,0.66504,0.03322259820598,0.1498402926233249,12.128767819102272,145.2893245077189,0.1223944318936876,0.1069050892226365,2.297545107618103,3.2801475721136963,33.333333333333336
10,SVY,430,14.40474,14.40474000000004,50.35448,90.0,90.0,119.99999999999991,9048.56259059475,4.15309,4.15309,4.15088,2.1246,7.57728,5.75459,5.77512,7.22222,5.75459,0.0475213599612992,3,3,2,2,0,0,0,7.57731,4.03157,7.55466,5.77514,4.15088,5.77514,5.77569,4.15309,5.77569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57747,1847.04,2041.25,1294.0,0.0,0.0,0.0,3,1279.25,285.155,282.63,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.68,0.18574,0.117745,0.0,0.0,0.0,1209.79,236.891,233.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3587.03,0.39642,0.251301,0.0,0.0,0.0,1,50000,0.18574,0.0,0.39642,0.0,0.0778,0.52578,0.0332225697674418,0.0359456253187966,7.57159912967797,61.727325876542594,0.2120236146179401,0.1444734264553557,1.357168009169364,0.026522714256961,143.33333333333334
11,RON,160,18.08329,18.08329,8.98593,90.0,90.0,90.0,2938.4474293593576,4.03597,1.12749,1.12749,4.03597,5.11327,5.11327,5.11327,4.66966,4.66966,0.0544505232257578,2,1,1,0,0,0,0,5.11327,4.03167,5.11327,5.11327,4.03167,5.11327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82909,345.236,1174.89,642.337,0.301907,1.02744,0.56172,2,175.238,169.998,0.0,0.0,0.0,0.0,4,0.181144,0.0603814,0.0603814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.183,0.08378,0.0458042,0.0,0.0,0.0,123.885,122.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.882,0.21572,0.117938,0.0,0.0,0.0,1,50000,0.08378,0.0,0.21572,0.0,0.15684,0.62744,0.0332226083056478,0.0939648766714747,10.770935184024829,119.65320993998851,0.1677260996677741,0.1358708038940867,1.759896926281045,1.131807793535069,53.333333333333336
12,SVR,284,20.407999999999983,13.304,20.166,90.0,102.333,90.0,5348.877511482463,4.57213,4.57213,4.57213,4.2516,5.34096,5.34096,5.34096,5.23427,5.34096,0.0530952521141745,1,3,0,0,0,0,0,5.34096,4.57213,5.34096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7558,877.218,1640.0,934.051,0.0,0.0,0.0,1,877.218,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.163,0.12716,0.072423,0.0,0.0,0.0,680.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.55,0.3054,0.173938,0.0,0.0,0.0,1,50000,0.12716,0.0,0.3054,0.0,0.10738,0.58722,0.0332226282757475,0.0611414884487769,9.12408695667884,94.00560221576748,0.1738276245847176,0.140537057332152,1.7139698935993624,0.9675983661368136,94.66666666666669
13,SSO,244,19.90202999999996,10.15609,24.68916,90.0,105.88000000000004,90.0,4799.894117190112,4.49282,1.24915,4.49282,1.09493,6.22301,6.21796,5.97588,5.93319,5.97588,0.0508344546864377,2,1,1,0,0,0,0,6.22118,4.49282,6.22118,6.22301,4.49282,6.22301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68504,798.729,1664.06,987.547,8.42125,17.5447,10.412,2,400.115,398.614,0.0,0.0,0.0,0.0,4,2.18997,1.92902,2.51236,1.7899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.456,0.15364,0.0911788,0.479989,0.0001,5.93458e-05,370.072,367.384,0.0,0.0,0.0,0.0,0.0,0.191996,0.191996,0.0959979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.93,0.32916,0.195343,19.3916,0.00404,0.00239757,1,50000,0.15364,0.0001,0.32916,0.00404,0.10426,0.56254,0.0332225775747508,0.0552071746816257,9.73239993842246,102.1371864152692,0.198956707641196,0.1526359734230706,1.4877644094601965,0.2684380314255268,81.33333333333333
14,WEN,59,13.587,13.587000000000028,7.557,90.0,90.0,119.99999999999994,1208.1676552183303,3.6425,3.62371,3.6425,2.73611,4.97345,4.97092,4.97345,4.97345,4.97345,0.0488342820180349,1,3,0,0,0,0,0,4.97345,3.64249,4.97345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62963,261.735,2166.38,1329.37,9.24253,76.5004,46.9433,1,261.735,0.0,0.0,0.0,0.0,0.0,2,2.60309,6.63943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.268,0.12686,0.0778458,1.47396,0.00122,0.000748635,153.268,0.0,0.0,0.0,0.0,0.0,0.14498,1.32898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.894,0.37486,0.230027,29.0444,0.02404,0.0147518,1,50000,0.12686,0.00122,0.37486,0.02404,0.05174,0.54936,0.0332225761461794,0.081462892488511,10.959326957569742,124.01030879480598,0.1589755714285714,0.1282651752626059,1.831108259803852,1.3981051060725456,19.666666666666668
15,SFV,2352,20.1528,20.1528,109.7563,90.0,90.0,90.0,44575.91307813139,5.05708,5.05346,5.05708,4.42869,7.06716,6.89725,6.89725,7.06716,6.89725,0.0527639219835493,1,3,0,0,0,0,0,7.06717,5.05708,6.89726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75478,7153.14,1604.71,914.477,7.04162,1.57969,0.90022,1,7153.14,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.53919,0.940319,0.280366,0.840037,1.00176,0.0399007,0.0399007,0.899358,0.0798015,1.08156,0.438908,0.199504,0.661014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6270.94,0.14068,0.0801694,0.0,0.0,0.0,6270.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12924.3,0.28994,0.165228,0.0,0.0,0.0,1,50000,0.14068,0.0,0.28994,0.0,0.12762,0.58244,0.0332225905747508,0.0160853456363365,4.191961898210013,18.063692622619488,0.2020726182724252,0.1496220964866943,1.4709406334161503,0.2551201039308415,784.0
16,LIT,76,14.844,8.594,9.784,90.0,90.0,90.0,1248.138383424,1.39007,1.11254,1.39007,1.11254,2.78689,2.76895,2.78689,2.78689,2.78689,0.0608906840854539,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00362,0.0,0.0,0.0,65.9858,528.673,263.86,0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.65463,13.3672,12.7203,3.81529,12.2792,12.8205,3.87355,3.45513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03801,0.00644,0.00321419,0.0,0.0,0.0,0.0,0.0,0.0,0.44933,2.07191,1.79732,0.349479,1.34799,1.42288,0.399404,0.199702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.28,0.14524,0.0724889,1,50000,0.0,0.00644,0.0,0.14524,0.17514,0.67962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33333333333333
17,IFT,460,18.88902,22.80229,29.08152,90.0,90.0,90.0,12525.786160392685,7.32849,6.31106,6.31106,7.32849,10.03607,10.03607,10.03607,10.03607,10.03607,0.0367242418248004,1,3,0,0,0,0,0,10.0361,7.32849,10.0361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21921,2492.94,1990.25,1632.4,0.0,0.0,0.0,1,2492.94,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4549.12,0.36318,0.297881,0.0,0.0,0.0,4549.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6861.12,0.54776,0.449274,0.0,0.0,0.0,1,50000,0.36318,0.0,0.54776,0.0,0.05208,0.40016,0.0332226116046511,0.0703917097889185,11.388857373531811,133.9353036052327,0.3238405857142856,0.208472437926343,0.722282088260632,-1.447066888116176,153.33333333333334
